q_ratio,M,mean_of_means,ci95_mean_lo,ci95_mean_hi,var_of_means,mean_of_vars,ci95_var_lo,ci95_var_hi,var_of_vars
0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,100,2.677545123747971e-05,-2.5704433187980495e-05,7.925533566293992e-05,7.169247889706532e-08,1.7578478680733845e-06,-1.6875339533504497e-06,5.2032296894972185e-06,3.0900291272901443e-10
0.18,100,0.00035533118107168886,-0.0003411179338288215,0.0010517802959721992,1.2626024824180142e-05,5.6981288279473564e-05,-5.470203674829461e-05,0.00016866461330724175,3.2468672139884706e-07
0.19,100,0.0003475682661185587,-0.0003336655354738163,0.0010288020677109338,1.2080369961266125e-05,1.7764146958427135e-05,-1.7053581080090035e-05,5.25818749969443e-05,3.155649171605959e-08
0.2,100,8.585517319384064e-05,-8.24209662660871e-05,0.0002541313126537684,7.371110764144379e-07,3.4933543065435808e-06,-3.353620134281837e-06,1.0340328747368999e-05,1.2203524311046582e-09
0.21,100,9.570252353127894e-06,-9.187442259002781e-06,2.832794696525857e-05,9.158973010255002e-09,3.0321268776391935e-07,-2.910841802533625e-07,8.975095557812013e-07,9.193793402102e-12
0.22,100,6.700775813603819e-06,-2.835444300666677e-06,1.6236995927874314e-05,2.367229645663713e-09,2.3645731682541346e-07,-1.2521267562435713e-07,5.981273092751841e-07,3.404966249443386e-12
0.23,100,2.408829373617381e-05,-2.312476198672686e-05,7.130134945907449e-05,5.802458951201905e-08,1.4590817320058457e-06,-1.4007184627256123e-06,4.318881926737304e-06,2.128919500673179e-10
0.24,100,0.00058036568979261,-0.0005571510622009055,0.0017178824417861255,3.36824333888452e-05,9.393188861128336e-05,-9.017461306683197e-05,0.00027803839028939866,8.823199698082541e-07
0.25,100,0.0003199585832099814,-0.00025445538464485986,0.0008943725510648227,8.588905832641153e-06,1.5529209340955713e-05,-1.2536415102809073e-05,4.3594833784720496e-05,2.050393782326238e-08
0.26,100,0.0005428501983798474,-1.0312860756442961e-05,0.0010960132575161376,7.965154362583794e-06,4.317741860904118e-05,-1.196639905752492e-05,9.832123627560727e-05,7.915557650050726e-08
0.27,100,0.0035471405217776214,0.0010801251375621886,0.006014155905993054,0.00015842786614836578,0.000776712569042391,-3.848600480056111e-05,0.0015919111428853432,1.729874830267553e-05
0.28,100,0.011469756761428855,0.005351411322983257,0.01758810219987445,0.000974441662436174,0.003909284659798866,-0.0011910641503019397,0.009009633469899673,0.0006771542582438753
0.29,100,0.011965563367528055,0.00827794665564776,0.01565318007940835,0.00035398055533472633,0.0012515869982734264,0.0006632403690340947,0.001839933627512758,9.010614226813924e-06
0.3,100,0.031215420303012543,0.02240393853267391,0.040026902073351175,0.002021090456815131,0.003918512742885044,0.00255680737399462,0.005280218111775469,4.826742793796872e-05
0.31,100,0.04168335882473875,0.03163340376976417,0.05173331387971333,0.0026291544306281003,0.005581486241175656,0.0032746744985859074,0.007888297983765405,0.00013851989836916785
0.32,100,0.07581484898702627,0.06279203425279367,0.08883766372125887,0.0044146632549496466,0.009962881290045305,0.00761346836393744,0.01231229421615317,0.00014368338966479387
0.33,100,0.10940808518397695,0.09442350466481862,0.12439266570313527,0.005844899347541111,0.016460822954665947,0.010102187502299792,0.022819458407032103,0.0010524845068744205
0.34,100,0.18961537775367968,0.1674365843716285,0.21179417113573085,0.012804531338080927,0.02826870591392837,0.0212026309738164,0.03533478085404034,0.0012997036406517698
0.35000000000000003,100,0.3009078252873717,0.2762666069934522,0.3255490435812912,0.015805644497308268,0.045248040971974185,0.036484970051232885,0.054011111892715485,0.0019989434600672052
0.36,100,0.46859243091758196,0.43601868738715754,0.5011661744480064,0.027619970001714615,0.07644000156350267,0.06210657854817154,0.09077342457883379,0.0053479543767290735
0.37,100,0.6274822194544779,0.5909811214105881,0.6639833174983677,0.03468164718892276,0.08556642129682641,0.07556934373278235,0.09556349886087048,0.002601560803350509
0.38,100,0.9219903802373195,0.8765109388053459,0.9674698216692931,0.05384161789265719,0.132748989126499,0.11573486256714842,0.14976311568584955,0.007535414998375636
0.39,100,1.2818192270424384,1.2246180786671608,1.3390203754177161,0.08517209952755476,0.17959681048914777,0.16101798726223784,0.1981756337160577,0.008985127876321528
0.4,100,1.7359767131972788,1.679597712154685,1.7923557142398725,0.08274135148273627,0.27328758254678986,0.21385725373945008,0.33271791135412965,0.0919399204016171
