q_ratio,M,mean_of_means,ci95_mean_lo,ci95_mean_hi,var_of_means,mean_of_vars,ci95_var_lo,ci95_var_hi,var_of_vars
0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,100,2.8217768979163485e-05,-2.7089058219996957e-05,8.352459617832393e-05,7.962424861614417e-08,1.376753948291639e-06,-1.321683790359973e-06,4.075191686943251e-06,1.8954514341366165e-10
0.25,100,0.0004921551608313342,-0.0003096121823515795,0.001293922504014248,1.6733415050879537e-05,6.197159185442496e-05,-5.121303787336368e-05,0.0001751562215822136,3.334746045037645e-07
0.26,100,0.0014646285899388774,0.00024381146194061383,0.002685445717937141,3.8796190650091864e-05,0.00012813266018399716,-1.9933218038147894e-06,0.00025825864217180914,4.4077392722543644e-07
0.27,100,0.0066036512350663365,0.0023476284887181025,0.010859673981414571,0.00047151524410228986,0.0011646337829904578,-3.058689247133076e-05,0.0023598544584522464,3.718639272832503e-05
0.28,100,0.011899228413959151,0.006814532840996848,0.016983923986921452,0.0006730041927765108,0.001943110262601039,0.0008312362521208008,0.0030549842730812774,3.218096145307708e-05
0.29,100,0.01522620017549587,0.009386066014553482,0.021066334336438258,0.0008878375421128244,0.0014740763793020955,0.0007562332942808283,0.002191919464323363,1.3413647821554831e-05
0.3,100,0.028537407008146918,0.021080949121016487,0.035993864895277346,0.0014472814510243025,0.0033562488876103043,0.0021907344369881763,0.004521763338232432,3.536088959311227e-05
0.31,100,0.05274754597670351,0.042845315080870694,0.06264977687253633,0.002552430672490264,0.007131877904788789,0.005152831316680486,0.009110924492897092,0.00010195297266511649
0.32,100,0.08432617641482607,0.06953123993315986,0.09912111289649227,0.005697890084770346,0.011860364356381239,0.008690097753540267,0.01503063095922221,0.0002616251127938576
0.33,100,0.12901876809334056,0.11185166002848529,0.14618587615819584,0.00767153267676018,0.02879833374305388,0.010755743202024493,0.04684092428408327,0.008473945060163557
0.34,100,0.20671513008482878,0.18429738696665768,0.22913287320299988,0.013081924367771435,0.03191850497301854,0.024805856421595364,0.03903115352444172,0.0013168932063739645
0.35000000000000003,100,0.319960400709233,0.2907020434585103,0.34921875795995566,0.02228372212127541,0.04656923031765864,0.037943405427722114,0.05519505520759516,0.0019368194250272927
0.36,100,0.5041068573849847,0.4695052466941683,0.5387084680758012,0.03116595851725379,0.06891220174700029,0.05873488612553881,0.07908951736846177,0.0026962139019898975
0.37,100,0.6977589013447348,0.6572667773703842,0.7382510253190855,0.0426804483536595,0.09904019040724046,0.08510026077072239,0.11298012004375854,0.005058351683441143
0.38,100,0.9455013901963373,0.8988376673671638,0.9921651130255108,0.05668219044871755,0.1398841193767761,0.11962765437586467,0.16014058437768755,0.010681080131537643
0.39,100,1.307047379498208,1.2510115143581158,1.3630832446383003,0.08173724963553236,0.1907866434754564,0.17016582193165045,0.21140746501926236,0.011068780746082162
0.4,100,1.7333192922581078,1.6680223382649433,1.7986162462512723,0.110987406309492,0.25296307870907236,0.22462903627222158,0.28129712114592315,0.020898010225251475
0.41000000000000003,100,2.263200163527415,2.2030911359565812,2.323309191098249,0.09405183245291694,0.3227285679758194,0.2893792150068235,0.3560779209448153,0.028950940843676456
0.42,100,2.8432835462248587,2.7710416546099106,2.9155254378398068,0.1358520122893046,0.43979629394302333,0.38325647396278373,0.49633611392326293,0.08321405777274833
0.43,100,3.4216000017957438,3.3406941237536727,3.502505879837815,0.17039153221986852,0.4747263922566428,0.4361729594960742,0.5132798250172115,0.03869135718512304
0.44,100,4.088026399346182,3.986829599240903,4.189223199451461,0.26657622739347697,0.640400466761985,0.5580930603926324,0.7227078731313377,0.17634603142570168
0.45,100,4.572726228291042,4.489711747753819,4.655740708828266,0.17938889990798257,0.66589198929111,0.6012958673977392,0.7304881111844809,0.10861773645520685
